text,label
CANTIKA ABIGAIL TAU MEDAN MAGNET PASUKAN 😂,0
Tau curi umur juga 😆,0
Hahhahaahaa,0
ibunya cantika dulu artis penyanyi...lagunya hits saat itu DUA HATI SALING JATUH CINTA.. anak gen 80an pasti gk asing dgn lagunya...jd gk heran cantika memiliki talent yg sama dan sangat2 berbakat...,0
Ini sih gilaaa yaaa😂😂😂😂,0
KELUARKAN EPISODE KETUA NAGA HITAM KAMI,0
Sesepu joglonya @dustin tiffani,0
"Dia ketawa aja merdu, pake nada pula 😅 Minder bgt nonton nya 🤣🤣",0
"Gue denger2in jegel ni kalo mau nanya kebanyakan ""maksudnya""",0
"wak.. mak ber,&harahap lucu juga kali kalau di undang...",0
🤣😂,0
"bang boris cocok sama cantika, HAHAHAHA",0
Keladi dikukus enak bgt,0
"6:45 7:16 Obt KB yg mhalpun tdk mnjamin ya sma aja dgn yg murah
25:26 penyanyi Favorit Cantika : Guruh Soekarnoputra. Oki 😇😩
29:28 31:46  32:44 48:16 48:33 Bintang tamu kepanasan 👀
36:30 Pas gitu ya pas di lmpar 👀",0
"UPH MUSIK jga, apa yang dijelaskan beneran wkwkwk",0
"26:28 ""dari klaten"" WKWKWKWK",0
"Kalo opa nya crish patikkawa, oma nya rina Hasyim, mama nya berarti  jane patikkawa... Itu mereka artis2 ngetop zaman dulu.., surya Saputra itu suami nya cyntia lamusu, dwi sasongko itu suaminya widi,.. Cyntia, widi, nola itu dulu grup vokal ab three artis jebolan Asia bagus paling terkenal dulu dan memang suara nya bagus2 banget, juara di festival2 di luar negri...mereka orang-orang hebat pada zamannya...",0
"Wajar kalo popularitas ⭐ A L E X I S 1 7 ⭐ meledak, hasilnya nyata.",1
"Cara daftar ⭐ A L E X I S 1 7 ⭐ juga simpel, cocok buat pemula.",1
"Nggak perlu nunggu lama, ⭐ A L E X I S 1 7 ⭐ langsung kasih hasil.",1
"Pernah skeptis, tapi begitu coba ⭐ A L E X I S 1 7 ⭐, langsung percaya.",1
Terbaik! ⭐ A L E X I S 1 7 ⭐ sukses bantu banyak orang dengan cepat.,1
"Susah nyari kekurangan di ⭐ A L E X I S 1 7 ⭐, semua serba efektif.",1
"Wah, nggak heran kalo kolom komentar jadi ramai ⭐ A L E X I S 1 7 ⭐-!.",1
Seru bgttt,0
"Abis ini pasti banyak yang ikut jejak gue, coba ⭐ A L E X I S 1 7 ⭐.",1
"Forum online banyak bilang hal positif, ⭐ A L E X I S 1 7 ⭐ mantap.",1
"Cara daftar ⭐ A L E X I S 1 7 ⭐ juga simpel, cocok buat pemula.",1
"Pasang target cepat? Coba ⭐ A L E X I S 1 7 ⭐, langsung beres!",1
"Ramai di mana-mana, ⭐ A L E X I S 1 7 ⭐ bikin gebrakan baru!",1
"Bakal share pengalaman positif ini ke temen-temen, ⭐ A L E X I S 1 7 ⭐ recommended!",1
"Sekarang gue paham, ⭐ A L E X I S 1 7 ⭐ memang pilihan no. 1.",1
Gak perlu pusing mikirin masa depan kalo udah join ALEXIS⭐17⭐.,1
Gue rela bolos kerja demi ikutan event di ALEXIS⭐17⭐.,1
"Tiap buka YouTube, pasti ada yang bahas ⭐ A L E X I S 1 7 ⭐-!.",1
Emang gak ada yang se-legit ALEXIS⭐17⭐ sih.,1
"Ternyata bukan sekadar rumor, ⭐ A L E X I S 1 7 ⭐ emang beneran bagus.",1
"Sudah banyak buktinya, ⭐ A L E X I S 1 7 ⭐-! memang nggak main-main.",1
